DateTime,SecondsElapsed,Slot1ID,Slot2ID,Slot3ID,Slot1Sensor,Slot2Sensor,Slot3Sensor,MQ4Value,MQ5Value,MQ6Value,MQ9Value,DHTHumidity,DHTTemperature,BMPPressure,BMPTemperature,NEWTEMPTemperature
2024-01-20 21:34:36.419541,0.002035379409790039,333,341,335,None,None,None,,,,,,,,,
2024-01-20 21:34:37.402447,0.9849414825439453,447,452,439,None,None,None,,,,,,,,,
2024-01-20 21:34:38.409389,1.9918828010559082,347,356,344,None,None,None,,,,,,,,,
2024-01-20 21:34:39.413728,2.996222496032715,304,314,303,None,None,None,,,,,,,,,
2024-01-20 21:34:40.420249,4.002742767333984,376,381,373,None,None,None,,,,,,,,,
2024-01-20 21:34:41.424485,5.00697922706604,409,416,402,None,None,None,,,,,,,,,
2024-01-20 21:34:42.431274,6.013767957687378,339,348,335,None,None,None,,,,,,,,,
2024-01-20 21:34:43.435745,7.018239259719849,282,293,282,None,None,None,,,,,,,,,
2024-01-20 21:34:44.443469,8.025963306427002,451,455,444,None,None,None,,,,,,,,,
2024-01-20 21:34:45.447100,9.029594659805298,748,693,913,None,None,None,,,,,,,,,
2024-01-20 21:34:46.454030,10.036523818969727,427,475,285,None,None,None,,,,,,,,,
2024-01-20 21:34:47.494322,11.07681655883789,304,321,285,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:48.546464,12.128958463668823,348,358,285,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:49.599184,13.181678056716919,283,303,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:50.652246,14.234740018844604,383,383,285,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:51.705462,15.28795576095581,233,274,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:52.761994,16.344488382339478,310,319,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:53.814150,17.396644115447998,415,410,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:54.866233,18.44872760772705,223,264,285,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:55.919526,19.50201988220215,311,324,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:56.972234,20.554728269577026,374,376,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:58.025261,21.607755661010742,261,290,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:34:59.077857,22.660351037979126,349,355,285,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:00.130409,23.712903261184692,288,315,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:01.182925,24.765419244766235,291,307,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:02.235861,25.818355560302734,398,396,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:03.288450,26.870944261550903,232,273,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:04.340242,27.922735929489136,306,316,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:05.397508,28.980002403259277,412,407,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:06.449173,30.031667232513428,228,264,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:07.502575,31.08506965637207,307,320,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:08.555458,32.13795256614685,360,367,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:09.608296,33.19079041481018,231,267,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:10.660678,34.24317193031311,306,318,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:11.713318,35.295812129974365,415,410,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:12.765320,36.34781455993652,207,252,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:13.818463,37.400956869125366,311,322,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:14.870611,38.453104972839355,408,403,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:15.924078,39.50657272338867,214,262,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:16.980602,40.56309676170349,301,315,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:18.033205,41.61569905281067,400,398,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:19.085627,42.668121337890625,244,283,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:20.138205,43.720699071884155,282,294,286,None,None,BMP,,,,,,,782.00,22.31,
2024-01-20 21:35:21.191181,44.773674726486206,363,365,286,None,None,BMP,,,,,,,782.00,22.31,
